Partlist

Exported from SD-101D Robotics Cape.brd at 5/12/17 4:58 AM

EAGLE Version 8.2.0 Copyright (c) 1988-2017 Autodesk, Inc.

Assembly variant: 

Part        Value                         Package               Library                    Position (inch)       Orientation

5VREG       AP1509SOIC-8-TIGHT            SO08-TIGHT            Strawson_Eagle_Lib         (0.785 0.64)          R270
6VREG       AOZ1284                       SO08-EXPOSED          Strawson_Eagle_Lib         (1.955 1.215)         R180
ADC         JST_SH_6                      JST_SH_6              Strawson_Eagle_Lib         (2.245 0.355)         R90
BAL         BQ29209                       8-SON_3X3MM           Strawson_Eagle_Lib         (1.895 1.785)         R0
BBB_HEADERS BEAGLEBONE_OUTLINE            BEAGLEBONE_SHIELD     Strawson_Eagle_Lib         (0 2.15)              R270
BMP         BMP280                        BMP280                Strawson_Eagle_Lib         (1.1 0.64)            R180
C1          0.1uF                         0402-CAP              Strawson_Eagle_Lib         (1.955 1.885)         R0
C2          0.1uF                         0402-CAP              Strawson_Eagle_Lib         (2.535 0.705)         R90
C3          10uF 25V                      0805                  SparkFun-Capacitors        (0.75 0.475)          R180
C4          1uF                           0402-CAP              Strawson_Eagle_Lib         (1.305 1.355)         R180
C5          10uF 25V                      0805                  SparkFun-Capacitors        (0.855 0.47)          R90
C6          0.1uF                         0402-CAP              Strawson_Eagle_Lib         (1.54 0.71)           R270
C7          10uF 25V                      0805                  SparkFun-Capacitors        (0.97 1.615)          R90
C8          0.1uF                         0402-CAP              Strawson_Eagle_Lib         (1.54 0.63)           R90
C9          0.1uF                         0402-CAP              Strawson_Eagle_Lib         (1.44 0.795)          R0
C10         1uF                           0402-CAP              Strawson_Eagle_Lib         (1.215 1.435)         R180
C11         100uF 16V                     PANASONIC_D           adafruit                   (2.895 0.865)         R180
C12         10uF 25V                      0805                  SparkFun-Capacitors        (1.04 1.615)          R90
C13         0.1uF                         0402-CAP              Strawson_Eagle_Lib         (1.175 0.635)         R90
C14         0.1uF                         0402-CAP              Strawson_Eagle_Lib         (1.215 1.475)         R0
C15         0.1uF                         0402-CAP              Strawson_Eagle_Lib         (1.925 1.415)         R180
C16         10uF 25V                      0805                  SparkFun-Capacitors        (0.825 0.26)          R180
C17         0.1uF                         0402-CAP              Strawson_Eagle_Lib         (1.865 1.65)          R90
C18         0.1uF                         0402-CAP              Strawson_Eagle_Lib         (1.91 1.65)           R90
C19         0.1uF                         0402-CAP              Strawson_Eagle_Lib         (1.985 1.785)         R90
C20         10uF 25V                      0805                  SparkFun-Capacitors        (2.39 1.35)           R180
C21         0.1uF                         0402-CAP              Strawson_Eagle_Lib         (1.98 1.025)          R90
C22         0.1uF                         0402-CAP              Strawson_Eagle_Lib         (2.1 1.335)           R180
C23         10uF 25V                      0805                  SparkFun-Capacitors        (2.035 1.015)         R90
